Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Centered,Davies_Centered_Std,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std,Mood
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-03,mirar,DOM,DOM,DOM,NA,NA,0,NA,NA,NA,186441,197558,3683993,NA,NA,-0.10659234765645834,0.8384533657585245,NA,0.3659305090510331,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-11,llevar,DOM,DOM,DOM,NA,NA,0,NA,NA,NA,418316,301022,13841181,NA,NA,1.2280164205491535,1.8322740287278596,NA,1.5301452246385066,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-18,peinar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,6151,3173,91504,NA,NA,-1.1442920342108076,-1.0287065117959315,NA,-1.0864992730033696,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-26,llamar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,303936,207733,8248273,NA,NA,0.5696765783610872,0.9361890539758077,NA,0.7529328161684474,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-33,cuidar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,208160,26928,1534607,NA,NA,0.01841624678734838,-0.8005284996483579,NA,-0.39105612643050475,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-41,pintar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,45606,22466,893704,NA,NA,-0.9171998985793148,-0.8433881203683105,NA,-0.8802940094738126,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-46,tratar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,590952,203027,9516595,NA,NA,2.2216617868367825,0.8909856978332489,NA,1.5563237423350156,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP01,Heritage Adults,NA,NA,31,12,4,0,2 SPA/2 ENG,Bilingual,44,14,4,4,0,2,NA,FCT,FCT-55,amar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,60260,28864,1318934,NA,NA,-0.832855502291293,-0.7819323038362045,NA,-0.8073939030637487,0.36533481807264523,16,0.7871216420610975,1.0885340899398661,1.0578355615620851,18,1.3617726645173434,1.2113645633527272,-0.15582823957430486,Indicative
HSP02,Heritage Adults,NA,NA,28,12,3,0,2 SPA/2 ENG,Bilingual,49,11,4,0,0,3,NA,FCT,FCT-03,mirar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,186441,197558,3683993,NA,NA,-0.10659234765645834,0.8384533657585245,NA,0.3659305090510331,0.36533481807264523,15,0.5796632247736765,-0.13158104383888602,1.0578355615620851,15,0.3552450429175682,1.7833978293804025,-0.15582823957430486,Indicative
HSP02,Heritage Adults,NA,NA,28,12,3,0,2 SPA/2 ENG,Bilingual,49,11,4,0,0,3,NA,FCT,FCT-11,llevar,DOM,DOM,DOM,NA,NA,1,NA,NA,NA,418316,301022,13841181,NA,NA,1.2280164205491535,1.8322740287278596,NA,1.5301452246385066,0.36533481807264523,15,0.5796632247736765,-0.13158104383888602,1.0578355615620851,15,0.3552450429175682,1.7833978293804025,-0.15582823957430486,Indicative
