Part_ID,Age,Origin
HSP01,31,Spain
HSP02,28,Spain
HSP03,22,Bolivia
HSP06,21,Guatemala
HSP07,39,Bolivia
HSP08,21,Puerto Rico
HSP09,18,Origin not disclosed
HSP10,32,Cuba/PR
HSP11,43,Peru/PR
HSP12,21,Puerto Rico
HSP14,33,Nicaragua
HSP15,,Colombia
HSP16,21,Peru
HSP17,22,Origin not disclosed
HSP18,18,Cuba/PR
HSP19,25,Mexico
HSP20,48,Spain
HSP21,28,Panama
HSP22,22,Dominican Republic
HSP24,18,Mexico/DR
HSP25,19,DR/PR
HSP26,22,Colombia
HSP27,22,Ecuador
HSP28,18,Colombia
HSP29,19,Honduras
HSP30,27,Dominican Republic
HSP31,21,Panama
HSP32,22,Guatemala
HSP33,20,Ecuador
HSP34,20,Honduras
HSP35,21,Mexico
HSP36,18,Dominican Republic
HSP38,19,Dominican Republic
HSP39,19,Mexico
HSP40,18,Colombia
