Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Std,CORPES_Std,LOR,Composite_Freq,Use_Std,Use_Joint,Use_Joint_Std,BESA_Other_Std,BESA_Subj_Std,BESA_Total,BESA_Total_Std,DELE_Std,Exposure_Score_Std
H8B03,DLI-7/8,GBCS,8,NA,16,1,2,2 SPA/0 ENG,Monolingual,NA,8,2,NA,0,0,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,IND,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,0.08172441174367205,17,-0.20015510087064417,-1.777336474989919,-0.30230702732495923,10,-1.5512630699850574,NA,1.1692679333668567
H8B03,DLI-7/8,GBCS,8,NA,16,1,2,2 SPA/0 ENG,Monolingual,NA,8,2,NA,0,0,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,0.08172441174367205,17,-0.20015510087064417,-1.777336474989919,-0.30230702732495923,10,-1.5512630699850574,NA,1.1692679333668567
H8B03,DLI-7/8,GBCS,8,NA,16,1,2,2 SPA/0 ENG,Monolingual,NA,8,2,NA,0,0,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,0.08172441174367205,17,-0.20015510087064417,-1.777336474989919,-0.30230702732495923,10,-1.5512630699850574,NA,1.1692679333668567
H8B03,DLI-7/8,GBCS,8,NA,16,1,2,2 SPA/0 ENG,Monolingual,NA,8,2,NA,0,0,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,0.08172441174367205,17,-0.20015510087064417,-1.777336474989919,-0.30230702732495923,10,-1.5512630699850574,NA,1.1692679333668567
H8B04,DLI-7/8,GBCS,8,NA,19,3,2,2 SPA/0 ENG,Monolingual,NA,11,3,5,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,SUBJ,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,0.755950808628967,22,0.7172224447864758,-0.41333406395114425,0.36276843278994975,14,-0.12927192249875524,NA,1.1692679333668567
H8B04,DLI-7/8,GBCS,8,NA,19,3,2,2 SPA/0 ENG,Monolingual,NA,11,3,5,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,0,0,NA,1,NA,SUBJ,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,0.755950808628967,22,0.7172224447864758,-0.41333406395114425,0.36276843278994975,14,-0.12927192249875524,NA,1.1692679333668567
H8B04,DLI-7/8,GBCS,8,NA,19,3,2,2 SPA/0 ENG,Monolingual,NA,11,3,5,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,SUBJ,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,0.755950808628967,22,0.7172224447864758,-0.41333406395114425,0.36276843278994975,14,-0.12927192249875524,NA,1.1692679333668567
H8B04,DLI-7/8,GBCS,8,NA,19,3,2,2 SPA/0 ENG,Monolingual,NA,11,3,5,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,0.755950808628967,22,0.7172224447864758,-0.41333406395114425,0.36276843278994975,14,-0.12927192249875524,NA,1.1692679333668567
H8B05,DLI-7/8,GBCS,8,NA,13,3,2,2 SPA/0 ENG,Monolingual,NA,10,4,0,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,-0.5925019851416229,16,-0.38363061000206816,-0.8680015342974025,1.0278438929048588,14,-0.12927192249875524,NA,1.1692679333668567
H8B05,DLI-7/8,GBCS,8,NA,13,3,2,2 SPA/0 ENG,Monolingual,NA,10,4,0,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,-0.5925019851416229,16,-0.38363061000206816,-0.8680015342974025,1.0278438929048588,14,-0.12927192249875524,NA,1.1692679333668567
H8B05,DLI-7/8,GBCS,8,NA,13,3,2,2 SPA/0 ENG,Monolingual,NA,10,4,0,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,IND,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,-0.5925019851416229,16,-0.38363061000206816,-0.8680015342974025,1.0278438929048588,14,-0.12927192249875524,NA,1.1692679333668567
H8B05,DLI-7/8,GBCS,8,NA,13,3,2,2 SPA/0 ENG,Monolingual,NA,10,4,0,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,-0.5925019851416229,16,-0.38363061000206816,-0.8680015342974025,1.0278438929048588,14,-0.12927192249875524,NA,1.1692679333668567
H8B08,DLI-7/8,GBCS,8,NA,25,5,2,2 SPA/0 ENG,Monolingual,NA,14,4,0,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,SUBJ,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,2.104403602399557,30,2.185026517837868,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,1.1692679333668567
H8B08,DLI-7/8,GBCS,8,NA,25,5,2,2 SPA/0 ENG,Monolingual,NA,14,4,0,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,NA,NA,1,NA,IND,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,2.104403602399557,30,2.185026517837868,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,1.1692679333668567
H8B08,DLI-7/8,GBCS,8,NA,25,5,2,2 SPA/0 ENG,Monolingual,NA,14,4,0,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,0,0,1,NA,SUBJ,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,2.104403602399557,30,2.185026517837868,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,1.1692679333668567
H8B08,DLI-7/8,GBCS,8,NA,25,5,2,2 SPA/0 ENG,Monolingual,NA,14,4,0,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,2.104403602399557,30,2.185026517837868,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,1.1692679333668567
H7B02,DLI-7/8,GBCS,7,NA,17,3,1,2 SPA/1 ENG,Bilingual,NA,14,4,0,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,0.3064665440387704,20,0.3502714265236278,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,0
H7B02,DLI-7/8,GBCS,7,NA,17,3,1,2 SPA/1 ENG,Bilingual,NA,14,4,0,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,0.3064665440387704,20,0.3502714265236278,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,0
H7B02,DLI-7/8,GBCS,7,NA,17,3,1,2 SPA/1 ENG,Bilingual,NA,14,4,0,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,SUBJ,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,0.3064665440387704,20,0.3502714265236278,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,0
H7B02,DLI-7/8,GBCS,7,NA,17,3,1,2 SPA/1 ENG,Bilingual,NA,14,4,0,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,0.3064665440387704,20,0.3502714265236278,0.9506683470876304,1.0278438929048588,18,1.2927192249875468,NA,0
H7B03,DLI-7/8,GBCS,7,NA,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,-1.7162126466171146,9,-1.667959173922036,-1.777336474989919,-0.9673824874398682,9,-1.906760856856633,NA,0
H7B03,DLI-7/8,GBCS,7,NA,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,SUBJ,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,-1.7162126466171146,9,-1.667959173922036,-1.777336474989919,-0.9673824874398682,9,-1.906760856856633,NA,0
H7B03,DLI-7/8,GBCS,7,NA,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,PRET,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,-1.7162126466171146,9,-1.667959173922036,-1.777336474989919,-0.9673824874398682,9,-1.906760856856633,NA,0
H7B03,DLI-7/8,GBCS,7,NA,8,1,1,2 SPA/1 ENG,Bilingual,NA,8,1,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,-1.7162126466171146,9,-1.667959173922036,-1.777336474989919,-0.9673824874398682,9,-1.906760856856633,NA,0
H8B02,DLI-7/8,GBCS,8,NA,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,-1.266728382026918,11,-1.3010081556591881,0.49600087674137217,1.0278438929048588,17,0.9372214381159714,NA,0
H8B02,DLI-7/8,GBCS,8,NA,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,-1.266728382026918,11,-1.3010081556591881,0.49600087674137217,1.0278438929048588,17,0.9372214381159714,NA,0
H8B02,DLI-7/8,GBCS,8,NA,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,0,0,0,NA,NA,INF,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,-1.266728382026918,11,-1.3010081556591881,0.49600087674137217,1.0278438929048588,17,0.9372214381159714,NA,0
H8B02,DLI-7/8,GBCS,8,NA,10,1,1,2 SPA/1 ENG,Bilingual,NA,13,4,NA,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,-1.266728382026918,11,-1.3010081556591881,0.49600087674137217,1.0278438929048588,17,0.9372214381159714,NA,0
H8B01,DLI-7/8,GBCS,8,NA,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,NA,IND,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,0.755950808628967,22,0.7172224447864758,0.9506683470876304,-1.6324579475547771,14,-0.12927192249875524,NA,-1.1692679333668567
H8B01,DLI-7/8,GBCS,8,NA,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,0.755950808628967,22,0.7172224447864758,0.9506683470876304,-1.6324579475547771,14,-0.12927192249875524,NA,-1.1692679333668567
H8B01,DLI-7/8,GBCS,8,NA,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,NA,IND,45606,22466,893704,-0.8179414916676613,-0.8828811589034609,NA,-0.8504113252855611,0.755950808628967,22,0.7172224447864758,0.9506683470876304,-1.6324579475547771,14,-0.12927192249875524,NA,-1.1692679333668567
H8B01,DLI-7/8,GBCS,8,NA,19,3,0,2 SPA/2 ENG,Bilingual,NA,14,0,3,0,2,NA,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,IND,7583,4193,347240,-0.9789862096370593,-1.0566184803075656,NA,-1.0178023449723124,0.755950808628967,22,0.7172224447864758,0.9506683470876304,-1.6324579475547771,14,-0.12927192249875524,NA,-1.1692679333668567
H8B06,DLI-7/8,GBCS,8,NA,13,2,0,2 SPA/2 ENG,Bilingual,NA,13,3,0,0,2,NA,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,0,0,1,1,NA,SUBJ,60260,28864,1318934,-0.7558751292784874,-0.8220498021287954,NA,-0.7889624657036414,-0.5925019851416229,15,-0.5671061191334922,0.49600087674137217,0.36276843278994975,16,0.5817236512443958,NA,-1.1692679333668567
H8B06,DLI-7/8,GBCS,8,NA,13,2,0,2 SPA/2 ENG,Bilingual,NA,13,3,0,0,2,NA,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,NA,1,NA,NA,34174,20774,NA,-0.8663612169872352,-0.8989684761373987,NA,-0.882664846562317,-0.5925019851416229,15,-0.5671061191334922,0.49600087674137217,0.36276843278994975,16,0.5817236512443958,NA,-1.1692679333668567
