Verb,Davies,CORPES,WordList,Condition
amar,60260,28864,1318934,Intensional subj
bajar,284649,62583,1981927,Polarity subj
cuidar,208160,26928,1534607,Intensional subj
entrar,207551,129316,4429528,Polarity subj
hablar,868442,255835,8432028,Polarity subj
llamar,303936,207733,8248273,Intensional subj
llevar,1192620,301032,13841181,Intensional subj
mirar,186441,197558,3683993,Intensional subj
nadar,27224,5128,182321,Polarity subj
peinar,6151,3173,91504,Intensional subj
pintar,45606,22466,893704,Intensional subj
tratar,590952,203027,9516595,Intensional subj
