Verb,Davies,CORPES,WordList,Condition,Davies_Std,CORPES_Std,WordList_Std,Composite
amar,60260,28864,1318934,Intensional subj,-0.7340865144428692,-0.845894740417204,-0.71591692830748,-0.7899906274300366
cuidar,208160,26928,1534607,Intensional subj,-0.33429887447627826,-0.8638044044570959,-0.6675742792209063,-0.5990516394666872
llamar,303936,207733,8248273,Intensional subj,-0.07540731933469465,0.8087972519130855,0.8372798264040974,0.3666949662891954
llevar,1192620,301032,13841181,Intensional subj,2.3267892934852505,1.671893194711579,2.09091838485829,1.9993412440984146
mirar,186441,197558,3683993,Intensional subj,-0.39300737854953305,0.7146697562488804,-0.18579393050041526,0.16083118884967368
peinar,6151,3173,91504,Intensional subj,-0.8803482413593822,-1.0835585724672376,-0.9910427797971577,-0.9819534069133099
pintar,45606,22466,893704,Intensional subj,-0.7736976576211682,-0.9050817396564751,-0.811231337951171,-0.8393896986388216
tratar,590952,203027,9516595,Intensional subj,0.7004239806832301,0.7652627069896704,1.1215715336404293,0.7328433438364502
bajar,284649,62583,1981927,Polarity subj,-0.12754189818551034,-0.5339650081025769,-0.5673084425635306,-0.3307534531440436
entrar,207551,129316,4429528,Polarity subj,-0.3359450588761407,0.08337260056173726,-0.0186838291582965,-0.12628622915720172
hablar,868442,255835,8432028,Polarity subj,1.4505056048504328,1.2537820967720137,0.8784681229590827,1.3521438508112231
nadar,27224,5128,182321,Polarity subj,-0.8233859361733377,-1.0654731420963757,-0.9706863403629431,-0.9444295391348567
